width, p ,time
1,0.0,20
1,0.01,40
1,0.02,60
1,0.03,80
1,0.04,100
1,0.05,120
1,0.060000000000000005,140
1,0.07,160
1,0.08,180
1,0.09,200
1,0.09999999999999999,220
1,0.10999999999999999,240
1,0.11999999999999998,260
1,0.12999999999999998,280
1,0.13999999999999999,300
1,0.15,320
1,0.16,340
1,0.17,360
1,0.18000000000000002,380
1,0.19000000000000003,400
1,0.20000000000000004,420
1,0.21000000000000005,440
1,0.22000000000000006,460
1,0.23000000000000007,480
1,0.24000000000000007,500
1,0.25000000000000006,520
1,0.26000000000000006,540
1,0.2700000000000001,560
1,0.2800000000000001,580
1,0.2900000000000001,600
1,0.3000000000000001,620
1,0.3100000000000001,640
1,0.3200000000000001,660
1,0.3300000000000001,680
1,0.34000000000000014,700
1,0.35000000000000014,720
1,0.36000000000000015,740
1,0.37000000000000016,760
1,0.38000000000000017,780
1,0.3900000000000002,800
1,0.4000000000000002,820
1,0.4100000000000002,840
1,0.4200000000000002,860
1,0.4300000000000002,880
1,0.4400000000000002,900
1,0.45000000000000023,920
1,0.46000000000000024,940
1,0.47000000000000025,960
1,0.48000000000000026,980
1,0.49000000000000027,1000
1,0.5000000000000002,1020
1,0.5100000000000002,1040
1,0.5200000000000002,1060
1,0.5300000000000002,1080
1,0.5400000000000003,1100
1,0.5500000000000003,1120
1,0.5600000000000003,1140
1,0.5700000000000003,1160
1,0.5800000000000003,1180
1,0.5900000000000003,1200
1,0.6000000000000003,1220
1,0.6100000000000003,1240
1,0.6200000000000003,1260
1,0.6300000000000003,1280
1,0.6400000000000003,1300
1,0.6500000000000004,1320
1,0.6600000000000004,1340
1,0.6700000000000004,1360
1,0.6800000000000004,1380
1,0.6900000000000004,1400
1,0.7000000000000004,1420
1,0.7100000000000004,1440
1,0.7200000000000004,1460
1,0.7300000000000004,1480
1,0.7400000000000004,1500
1,0.7500000000000004,1520
1,0.7600000000000005,1540
1,0.7700000000000005,1560
1,0.7800000000000005,1580
1,0.7900000000000005,1600
1,0.8000000000000005,1620
1,0.8100000000000005,1640
1,0.8200000000000005,1660
1,0.8300000000000005,1680
1,0.8400000000000005,1700
1,0.8500000000000005,1720
1,0.8600000000000005,1740
1,0.8700000000000006,1760
1,0.8800000000000006,1780
1,0.8900000000000006,1800
1,0.9000000000000006,1820
1,0.9100000000000006,1840
1,0.9200000000000006,1860
1,0.9300000000000006,1880
1,0.9400000000000006,1900
1,0.9500000000000006,1920
1,0.9600000000000006,1940
1,0.9700000000000006,1960
1,0.9800000000000006,1980
1,0.9900000000000007,2000
